Year,p(in)
1911,39.9
1912,31.0
1913,42.3
1914,42.1
1915,41.1
1916,28.7
1917,16.8
1918,34.1
1919,56.4
1920,48.7
1921,44.1
1922,42.8
1923,48.4
1924,34.2
1925,32.4
1926,46.4
1927,38.9
1928,37.3
1929,50.6
1930,44.8
1931,34.0
1932,45.6
1933,37.3
1934,43.7
1935,41.8
1936,41.1
1937,31.2
1938,35.2
1939,35.1
1940,49.3
1941,44.2
1942,41.7
1943,30.8
1944,53.6
1945,34.5
1946,50.3
1947,43.8
1948,21.6
1949,47.1
1950,31.2
1951,27.0
1952,37.0
1953,46.8
1954,26.9
1955,25.4
1956,23.0
1957,56.5
1958,43.4
1959,41.3
1960,46.0
1961,44.3
1962,37.8
1963,29.6
1964,35.1
1965,49.7
1966,36.6
1967,32.5
1968,61.7
1969,47.4
1970,33.9
1971,31.7
1972,31.5
1973,59.6
1974,50.5
1975,38.6
1976,43.4
1977,28.7
1978,32.0
1979,51.8
